Commodity I-O code,Industry I-O code,input
1119B0,2122A0,13.6
1119B0,212310,20.4
1119B0,212320,19.5
1119B0,212390,7.8
1119B0,213111,90.9
1119B0,213112,73.9
1119B0,21311A,32.3
1119B0,221100,0
1119B0,230101,142
1119B0,230102,4.2
1119B0,230103,568.9
1119B0,230201,864.4
1119B0,230202,616.8
1119B0,230301,218
1119B0,230302,134.3
1119B0,31122A,161.7
1119B0,311230,14.4
1119B0,311320,273.7
1119B0,311330,77.4
1119B0,311340,3.7
1119B0,311820,27.7
1119B0,311910,1463.7
1119B0,311920,161.6
1119B0,311940,1006.5
1119B0,311990,18.8
1119B0,312120,108.6
1119B0,321219,47.5
1119B0,321920,8.6
1119B0,321992,17.5
1119B0,321999,18.4
1119B0,325130,0.3
1119B0,325190,515.2
1119B0,325411,2.1
1119B0,325413,0.1
1119B0,4A0000,25.9
1119B0,531000,1197.7
1119B0,541300,51.7
1119B0,541700,81.7
1119B0,550000,9.2
1119B0,561700,142.1
1119B0,562000,21.3
1119B0,611A00,0.3
1119B0,711100,0
1119B0,711200,5.7
1119B0,712000,0.6
1119B0,713A00,2.4
1119B0,713B00,64.2
1119B0,F01000,207.2
1119B0,F03000,28.4
1119B0,F04000,452.8
1119B0,F05000,-294.3
1119B0,S00600,142.8
1119B0,S00700,84.6
1119B0,S00800,207
112120,112120,41.2
112120,1121A0,82.6
112120,112A00,13.6
112120,311513,7970.5
112120,311514,2593.6
112120,31151A,9534.4
112120,311520,375.5
112120,311990,129.5
112120,541700,2.3
112120,F03000,43.3
112120,F04000,17.2
112120,F05000,-83.2
1121A0,1111A0,19.3
1121A0,1111B0,80.6
1121A0,111200,43.2
1121A0,111335,4.2
1121A0,1113A0,19.9
1121A0,111400,12.4
1121A0,111920,6.1
1121A0,1119A0,5.1
1121A0,1119B0,7.2
1121A0,112120,500.3
1121A0,1121A0,14165.2
1121A0,112A00,273.5
1121A0,115000,33.3
1121A0,31161A,28217.5
1121A0,541700,36.9
1121A0,550000,2.1
1121A0,F01000,81.4
1121A0,F03000,-490.3
1121A0,F04000,160
1121A0,F05000,-1439.5
112300,1111A0,0.4
112300,1119B0,4.9
112300,112300,2979.3
112300,311340,90.4
112300,311410,133.3
112300,311420,36.5
112300,311520,167.6
112300,311615,13463.4
112300,311810,219
112300,311820,264.4
112300,311940,132.6
112300,311990,203.7
112300,420000,192.9
112300,4A0000,71.3
112300,541700,3.4
112300,611100,0
112300,611A00,45
112300,622000,0.2
112300,623000,1.8
112300,713950,0
112300,7211A0,6.8
112300,722000,14.4
112300,813B00,1.2
112300,F01000,2686.2
112300,F03000,41.2
112300,F04000,237.3
112300,F05000,-45.6
112300,S00700,99.7
112A00,1111A0,12.1
112A00,1111B0,62.3
112A00,111200,12.8
112A00,111335,1.4
112A00,1113A0,5.9
112A00,111400,3.6
112A00,111910,37.9
112A00,111920,0.6
112A00,1119B0,28.7
112A00,112120,64.4
112A00,1121A0,4.3
112A00,112A00,1511.2
