I-O Industry number,I-O Industry title,NAICS
1111A0 ,Oilseed farming                                                                                                              ,11111
1111A0 ,Oilseed farming                                                                                                              ,11112
1111B0 ,Grain farming                                                                                                                ,11113
1111B0 ,Grain farming                                                                                                                ,11114
1111B0 ,Grain farming                                                                                                                ,11115
1111B0 ,Grain farming                                                                                                                ,11116
1111B0 ,Grain farming                                                                                                                ,11119
111200,Vegetable and melon farming                                                                                                  ,1112
1113A0,Fruit farming                                                                  ,11131
1113A0,Fruit farming                                                                  ,11132
1113A0,Fruit farming                                                                  ,111331 
1113A0,Fruit farming                                                                  ,111332
1113A0,Fruit farming                                                                  ,111333
1113A0,Fruit farming                                                                  ,111334
1113A0,Fruit farming                                                                  ,111336
1113A0,Fruit farming                                                                  ,111339
111335,Tree nut farming                                                                                                             ,111335
111335,Tree nut farming                                                                                                             ,111336
111400,"Greenhouse, nursery, and floriculture production",1114
111910,Tobacco farming                                                                                                   ,11191
111920,Cotton farming,11192
1119A0 ,Sugarcane and sugar beet farming                                                                                             ,11193
1119A0 ,Sugarcane and sugar beet farming                                                                                             ,111991
1119B0 ,All other crop farming                                                                                                       ,11194
1119B0 ,All other crop farming                                                                                                       ,111992
1119B0 ,All other crop farming                                                                                                       ,111998
1121A0 ,Cattle ranching and farming                                                                                                  ,11211
1121A0 ,Cattle ranching and farming                                                                                                  ,11213
112120,Dairy cattle and milk production                                                                                                              ,11212
112A00,"Animal production, except cattle and poultry and eggs                          ",1122
112A00,"Animal production, except cattle and poultry and eggs                          ",1124
112A00,"Animal production, except cattle and poultry and eggs                          ",1125
112A00,"Animal production, except cattle and poultry and eggs                          ",1129
112300,Poultry and egg production                                                                                                   ,1123
113A00 ,"Forest nurseries, forest products, and timber tracts                                                                         ",1131
113A00 ,"Forest nurseries, forest products, and timber tracts                                                                         ",1132
113300,Logging                                                                                                                      ,1133
114100,Fishing                                                                                                                      ,1141
114200,Hunting and trapping                                                                                                         ,1142
115000,Support activities for agriculture and forestry,115
211000,Oil and gas extraction                                                                                                       ,211
212100,Coal mining                                                                                                                  ,2121
212210,Iron ore mining                                                                                                              ,21221
2122A0 ,"Gold, silver, and other metal ore mining                                                                                     ",21222
2122A0 ,"Gold, silver, and other metal ore mining                                                                                     ",21229
212230,"Copper, nickel, lead, and zinc mining                                                                                        ",21223
212310,Stone mining and quarrying                                                                                                   ,21231
212320,"Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying",21232
212390,Other nonmetallic mineral mining and quarrying,21239
213111,Drilling oil and gas wells                                                                                                   ,213111
213112,Support activities for oil and gas operations                                                                                ,213112
21311A,Support activities for other mining                                            ,213113
21311A,Support activities for other mining                                            ,213114
21311A,Support activities for other mining                                            ,213115
221100,"Electric power generation, transmission, and distribution",2211
221200,Natural gas distribution                                                                                                     ,2212
221300,"Water, sewage and other systems                                                                                              ",2213
230101,Nonresidential commercial and health care structures,23
230102,Nonresidential manufacturing structures,23
230103,Other nonresidential structures                                                                                              ,23
230201,Residential permanent site single- and multi-family structures                                                               ,23
230202,Other residential structures,23
230301,Nonresidential maintenance and repair,23
230302,Residential maintenance and repair,23
311111,Dog and cat food manufacturing                                                                                               ,311111
311119,Other animal food manufacturing                                                                                              ,311119
311210,Flour milling and malt manufacturing                                                                                         ,31121
311221,Wet corn milling                                                                                                             ,311221
31122A ,Soybean and other oilseed processing                                                                                         ,311222
31122A ,Soybean and other oilseed processing                                                                                         ,311223
311225,Fats and oils refining and blending                                                                                          ,311225
311230,Breakfast cereal manufacturing                                                                                               ,311230
31131A ,Sugar cane mills and refining                                                                                                ,311311
31131A ,Sugar cane mills and refining                                                                                                ,311312
311313,Beet sugar manufacturing                                                                                                     ,311313
311320,Chocolate and confectionery manufacturing from cacao beans,31132
311330,Confectionery manufacturing from purchased chocolate                                                                         ,31133
311340,Nonchocolate confectionery manufacturing                                                                                     ,31134
311410,Frozen food manufacturing                                                                                                    ,31141
311420,"Fruit and vegetable canning, pickling, and drying                                                                             ",31142
31151A ,Fluid milk and butter manufacturing                                                                                          ,311511
31151A ,Fluid milk and butter manufacturing                                                                                          ,311512
311513,Cheese manufacturing                                                                                                         ,311513
