Commodity I-O code,Industry I-O code,input
1111A0 ,1111A0 ,1363.5
1111A0 ,112100 ,13.8
1111A0 ,112A00 ,4.3
1111A0 ,311221 ,139.6
1111A0 ,311222 ,9175.6
1111A0 ,311223 ,479.6
1111A0 ,311225 ,725.9
1111A0 ,311911 ,93.6
1111A0 ,325110 ,65.6
1111A0 ,325130 ,0.9
1111A0 ,325190 ,94.8
1111A0 ,325400 ,146.6
1111A0 ,F03000 ,1373.6
1111A0 ,F04000 ,6781.6
1111A0 ,F05000 ,-331
1111A0 ,F07C00 ,-379.2
1111B0 ,1111B0 ,3162.8
1111B0 ,111200 ,31.9
1111B0 ,1119B0 ,3
1111B0 ,112100 ,5092.4
1111B0 ,112300 ,1133.1
1111B0 ,112A00 ,2678.4
1111B0 ,311111 ,328.8
1111B0 ,311119 ,3531.1
1111B0 ,311211 ,3598.8
1111B0 ,311212 ,1041.9
1111B0 ,311213 ,353.7
1111B0 ,311221 ,3174.1
1111B0 ,311230 ,1524.9
1111B0 ,311410 ,60.1
1111B0 ,311420 ,102
1111B0 ,31181A ,371.9
1111B0 ,311822 ,220.1
1111B0 ,311830 ,19.3
1111B0 ,311919 ,608.3
1111B0 ,311990 ,112
1111B0 ,312120 ,13.6
1111B0 ,312140 ,43.1
1111B0 ,325190 ,294.1
1111B0 ,339994 ,7.8
1111B0 ,420000 ,53.4
1111B0 ,4A0000 ,32.2
1111B0 ,611100 ,0.2
1111B0 ,611A00 ,12.6
1111B0 ,622000 ,7.6
1111B0 ,623000 ,3.2
1111B0 ,624A00 ,4.6
1111B0 ,712000 ,0.7
1111B0 ,713950 ,0.2
1111B0 ,713A00 ,24.3
1111B0 ,7211A0 ,80.6
1111B0 ,721A00 ,0.7
1111B0 ,722000 ,1260.6
1111B0 ,813B00 ,10.5
1111B0 ,F01000 ,771.5
1111B0 ,F03000 ,1140
1111B0 ,F04000 ,7462.8
1111B0 ,F05000 ,-906
1111B0 ,F07C00 ,-33.8
1111B0 ,F08C00 ,72.4
1111B0 ,F09C00 ,35
111200 ,111200 ,433.6
111200 ,1113A0 ,23.7
111200 ,112100 ,22.6
111200 ,112A00 ,6
111200 ,311410 ,1055.7
111200 ,311420 ,1147.8
111200 ,31181A ,8.8
111200 ,311919 ,507.7
111200 ,311941 ,24.5
111200 ,311990 ,230.7
111200 ,325190 ,16.5
111200 ,483000 ,1.1
111200 ,48A000 ,0.5
111200 ,4A0000 ,116.2
111200 ,611100 ,3
111200 ,611A00 ,15.6
